imgPath,age,gender,race
69_1_0_20170109150615726.jpg,7,1,0
18_1_0_20170109214527742.jpg,3,1,0
9_0_0_20170110224305302.jpg,2,0,0
26_0_0_20170120134255183.jpg,4,0,0
54_0_0_20170105173307381.jpg,7,0,0
57_0_0_20170105173447996.jpg,7,0,0
24_1_0_20170105183618095.jpg,4,1,0
34_1_1_20170114033230436.jpg,5,1,1
84_1_0_20170110160644158.jpg,7,1,0
1_0_2_20161219161614550.jpg,0,0,2
35_0_0_20170104181243711.jpg,5,0,0
23_1_3_20170104231753450.jpg,4,1,3
29_0_0_20170103181910385.jpg,4,0,0
1_0_0_20170110213043946.jpg,0,0,0
54_0_3_20170119183920621.jpg,7,0,3
28_0_1_20170116193402600.jpg,4,0,1
25_1_2_20170120133606995.jpg,4,1,2
9_0_0_20170110225249086.jpg,2,0,0
49_1_0_20170109220434368.jpg,6,1,0
29_1_4_20170103235218684.jpg,4,1,4
31_0_0_20170105173759693.jpg,4,0,0
26_0_1_20170116225054291.jpg,4,0,1
5_1_3_20170119154358954.jpg,1,1,3
28_0_1_20170116005324543.jpg,4,0,1
10_0_0_20170110220644705.jpg,2,0,0
24_1_3_20170104223049680.jpg,4,1,3
43_0_0_20170119163815846.jpg,5,0,0
40_1_0_20170108234357077.jpg,5,1,0
18_0_0_20170117193153029.jpg,3,0,0
18_1_0_20170117140504776.jpg,3,1,0
29_1_1_20170117105207326.jpg,4,1,1
55_0_0_20170117155725626.jpg,7,0,0
26_1_3_20161220221501954.jpg,4,1,3
22_1_2_20170116162023656.jpg,4,1,2
16_1_3_20170104222208647.jpg,3,1,3
26_1_1_20170117152602749.jpg,4,1,1
32_1_1_20170116021140504.jpg,4,1,1
65_0_2_20170112224014771.jpg,7,0,2
41_0_4_20170111181750392.jpg,5,0,4
8_0_3_20161220222825331.jpg,2,0,3
32_0_0_20170112202940706.jpg,4,0,0
30_0_2_20170116180136075.jpg,4,0,2
59_0_0_20170104185901246.jpg,7,0,0
19_1_2_20170104021632526.jpg,3,1,2
26_1_1_20170116233613793.jpg,4,1,1
21_1_2_20161219211717693.jpg,4,1,2
40_1_0_20170109220527167.jpg,5,1,0
40_1_3_20170117185243863.jpg,5,1,3
4_0_3_20161220220759066.jpg,1,0,3
27_1_0_20170117010411661.jpg,4,1,0
30_1_1_20170116011401203.jpg,4,1,1
1_0_2_20161219192733154.jpg,0,0,2
8_1_4_20170109201844552.jpg,2,1,4
83_0_0_20170111221828238.jpg,7,0,0
30_0_0_20170117130646482.jpg,4,0,0
34_0_4_20170104000728781.jpg,5,0,4
46_1_2_20170109002726038.jpg,6,1,2
28_0_3_20170119194510875.jpg,4,0,3
